RM1, 1,0.000000, 5.500000,5.500000 
RM2, 1,0.000000, 0.000000,0.000000 
RM3, 1,0.000000, 0.500000,0.500000 
RM1, 1,0.045503, 9.242897,5.313496 
RM3, 1,0.070678, 3.441559,5.048167 
RM3, 1,0.088083, 2.287294,5.515222 
RM1, 1,0.100829, 4.609262,3.868741 
RM3, 1,0.151551, 7.320902,4.657607 
RM2, 1,0.164008, 9.745072,8.776290 
RM1, 1,0.166681, 8.095106,7.752123 
RM3, 1,0.172161, 7.875236,3.408778 
RM3, 1,0.186320, 7.213902,3.918612 
RM1, 1,0.238155, 2.804036,4.819027 
RM2, 1,0.247578, 3.942039,7.558536 
RM3, 1,0.247945, 2.476670,3.821857 
RM1, 1,0.259069, 2.046072,3.155183 
RM2, 1,0.284768, 6.924237,7.106799 
RM2, 1,0.313699, 7.659033,9.274741 
RM1, 1,0.345927, 8.336004,6.068539 
RM3, 1,0.346763, 8.704946,9.597247 
RM1, 1,0.362231, 7.343450,6.406168 
RM3, 1,0.384556, 9.401899,6.828718 
RM1, 1,0.406179, 3.973544,6.321501 
RM2, 1,0.406184, 3.824494,3.246475 
RM3, 1,0.416951, 8.894448,8.973270 
RM3, 1,0.419741, 8.693269,8.891274 
RM1, 1,0.454359, 5.274488,3.035271 
RM1, 1,0.484168, 5.333946,5.576031 
RM2, 1,0.490139, 3.210783,9.417894 
RM3, 1,0.498741, 4.130609,3.921174 
RM2, 1,0.539107, 6.949514,9.010973 
RM1, 1,0.541298, 9.280783,6.925473 
RM3, 1,0.576548, 8.098942,8.742443 
RM2, 1,0.581672, 3.461695,8.432759 
RM1, 1,0.605785, 5.727962,3.272396 
RM1, 1,0.620843, 5.002491,4.513891 
RM2, 1,0.641271, 8.115595,7.907633 
RM3, 1,0.649789, 2.329510,9.685512 
RM1, 1,0.673190, 8.932272,5.850703 
RM1, 1,0.698091, 7.022530,5.622752 
RM2, 1,0.698618, 3.425499,6.540704 
RM2, 1,0.713446, 2.310644,6.368807 
RM2, 1,0.738520, 2.176152,4.364072 
RM1, 1,0.743336, 5.651220,8.890419 
RM3, 1,0.747622, 7.642882,3.798310 
RM3, 1,0.787312, 5.640929,6.275350 
RM1, 1,0.796274, 9.659749,6.990058 
RM2, 1,0.823285, 9.225313,4.134200 
RM3, 1,0.830453, 2.078884,6.756560 
RM1, 1,0.850013, 5.161646,6.159734 
RM3, 1,0.875353, 5.249315,5.078068 
RM1, 1,0.878869, 5.342591,8.484501 
RM2, 1,0.892980, 4.274151,7.109548 
RM3, 1,0.899476, 7.131917,4.318786 
RM3, 1,0.915255, 5.860642,4.266766 
RM1, 1,0.919648, 3.301499,5.822356 
RM2, 1,0.939332, 2.397334,3.913278 
RM1, 1,0.983259, 8.561347,6.665463 
RM3, 1,0.987010, 5.662275,9.818588 
RM3, 1,1.017536, 7.792485,9.107214 
RM3, 1,1.019903, 7.901050,9.217356 
RM2, 1,1.029175, 9.627828,5.926560 
RM1, 1,1.043414, 4.238641,9.205180 
RM3, 1,1.045105, 9.975320,9.981526 
RM2, 1,1.067408, 8.289774,3.179876 
RM1, 1,1.079043, 5.260552,6.529927 
RM1, 1,1.107569, 2.716075,6.623233 
RM3, 1,1.122505, 3.677888,8.888622 
RM2, 1,1.130790, 3.627936,4.305593 
RM1, 1,1.154352, 5.476100,4.445765 
RM3, 1,1.159883, 6.658367,8.209280 
RM2, 1,1.204106, 7.790228,9.242307 
RM3, 1,1.211710, 2.754188,8.210146 
RM2, 1,1.228252, 5.931168,8.066491 
RM1, 1,1.237493, 9.728992,8.721574 
RM3, 1,1.253463, 2.624727,4.720955 
RM3, 1,1.274938, 3.464354,6.225951 
RM1, 1,1.287614, 6.300797,7.202530 
RM2, 1,1.294580, 9.887251,4.280823 
RM1, 1,1.314587, 4.403240,6.421310 
RM3, 1,1.315139, 3.504128,3.125487 
RM1, 1,1.354406, 2.949364,9.447498 
RM3, 1,1.377784, 8.320094,4.599601 
RM2, 1,1.405577, 2.319916,7.962385 
RM1, 1,1.421674, 8.745215,9.228865 
RM3, 1,1.443750, 5.223660,8.419777 
RM1, 1,1.472786, 4.574906,8.801739 
RM2, 1,1.474196, 7.490184,5.597436 
RM3, 1,1.481397, 3.748420,5.887062 
RM2, 1,1.483790, 7.402933,6.367828 
RM2, 1,1.506311, 7.761468,8.037826 
RM3, 1,1.527031, 6.481925,8.061453 
RM2, 1,1.529562, 9.652509,7.683726 
RM1, 1,1.538772, 8.099990,5.673275 
RM3, 1,1.576082, 3.071915,7.607669 
RM1, 1,1.608086, 3.275344,3.531343 
RM3, 1,1.625832, 5.021341,4.138245 
RM2, 1,1.626414, 2.939950,7.041744 
RM2, 1,1.659411, 4.942701,5.727118 
RM1, 1,1.667257, 5.746973,6.963323 
RM1, 1,1.678280, 5.161710,6.484456 
RM3, 1,1.695731, 6.979087,8.977048 
RM2, 1,1.702898, 4.872756,9.108919 
RM1, 1,1.723760, 7.679229,9.391799 
RM3, 1,1.739600, 3.253016,8.324315 
RM2, 1,1.741445, 2.310902,7.575791 
RM2, 1,1.785642, 4.479258,4.533623 
RM2, 1,1.801056, 3.761138,3.810699 
RM1, 1,1.821167, 4.166891,3.099972 
RM3, 1,1.839166, 9.614797,3.922610 
RM2, 1,1.881373, 8.638189,8.262217 
RM1, 1,1.897844, 9.842198,5.558609 
RM2, 1,1.943895, 3.745860,6.513770 
RM1, 1,1.948533, 6.022522,5.493290 
RM3, 1,1.953446, 2.510026,9.824177 
RM2, 1,1.976928, 3.610312,4.121105 
RM3, 1,1.989804, 4.996392,8.572161 
RM1, 1,1.996269, 6.695048,8.965647 
RM3, 1,2.002908, 5.612417,7.682195 
RM2, 1,2.003046, 3.777024,6.265495 
RM1, 1,2.015059, 7.463419,7.969840 
RM1, 1,2.022473, 7.546731,8.556170 
RM3, 1,2.023050, 5.974751,6.145612 
RM2, 1,2.038662, 5.920895,4.017623 
RM3, 1,2.058140, 3.327008,5.386275 
RM1, 1,2.073554, 4.436272,5.925396 
RM3, 1,2.082414, 3.898689,3.591758 
RM2, 1,2.088359, 9.331798,5.065576 
RM1, 1,2.124369, 8.022750,3.286237 
RM3, 1,2.131830, 7.975370,5.242508 
RM1, 1,2.155399, 7.751752,5.800760 
RM3, 1,2.187854, 7.864399,9.677197 
RM2, 1,2.193905, 2.060363,9.693777 
RM1, 1,2.206388, 4.821428,8.578924 
RM1, 1,2.239740, 2.505020,9.937554 
RM3, 1,2.245948, 3.304593,9.131111 
RM2, 1,2.268947, 7.942643,8.252840 
RM2, 1,2.307460, 5.618172,6.413531 
RM3, 1,2.327465, 7.745510,5.134214 
RM1, 1,2.330263, 6.062462,3.878861 
RM3, 1,2.361936, 9.650995,6.846212 
RM2, 1,2.364442, 2.548196,9.542448 
RM1, 1,2.392466, 7.351590,8.677477 
RM2, 1,2.397950, 3.910193,7.316524 
RM2, 1,2.423315, 4.204588,9.282302 
RM3, 1,2.444070, 3.478111,9.307046 
RM1, 1,2.457099, 6.813286,3.438791 
RM2, 1,2.462076, 4.427440,6.055507 
RM3, 1,2.497703, 5.854202,6.107914 
