n,t,x(t),t(n-1),x(t(n-1)),w,r,nr,sim,model,exp
43,3.3812650877139325,0.0,3.3077168975958107,1.0,0.07354819011812186,2.0,7,DLB_with_Q,DLB_with_Q_Model,Experiment
44,7.193740382351844,1.0,3.3812650877139325,0.0,3.812475294637912,2.0,8,DLB_with_Q,DLB_with_Q_Model,Experiment
45,7.484491228411301,2.0,7.193740382351844,1.0,0.29075084605945634,2.0,9,DLB_with_Q,DLB_with_Q_Model,Experiment
46,8.064747007612327,1.0,7.484491228411301,2.0,0.5802557792010266,2.0,10,DLB_with_Q,DLB_with_Q_Model,Experiment
47,8.080016837305271,2.0,8.064747007612327,1.0,0.01526982969294366,2.0,11,DLB_with_Q,DLB_with_Q_Model,Experiment
48,8.11173175739092,1.0,8.080016837305271,2.0,0.03171492008564947,2.0,12,DLB_with_Q,DLB_with_Q_Model,Experiment
49,8.170172636018659,0.0,8.11173175739092,1.0,0.05844087862773861,2.0,13,DLB_with_Q,DLB_with_Q_Model,Experiment
50,8.341918840618536,1.0,8.170172636018659,0.0,0.17174620459987722,2.0,14,DLB_with_Q,DLB_with_Q_Model,Experiment
51,8.429688125962743,2.0,8.341918840618536,1.0,0.0877692853442067,2.0,15,DLB_with_Q,DLB_with_Q_Model,Experiment
52,8.7460558526575,1.0,8.429688125962743,2.0,0.3163677266947573,2.0,16,DLB_with_Q,DLB_with_Q_Model,Experiment
53,9.145278771122037,2.0,8.7460558526575,1.0,0.3992229184645364,2.0,17,DLB_with_Q,DLB_with_Q_Model,Experiment
54,9.325696943197036,1.0,9.145278771122037,2.0,0.1804181720749991,2.0,18,DLB_with_Q,DLB_with_Q_Model,Experiment
55,9.519471443017817,0.0,9.325696943197036,1.0,0.19377449982078154,2.0,19,DLB_with_Q,DLB_with_Q_Model,Experiment
56,10.0,0.0,9.519471443017817,0.0,0.48052855698218266,2.0,20,DLB_with_Q,DLB_with_Q_Model,Experiment
57,10.713777960519003,1.0,10.0,0.0,0.7137779605190033,2.0,21,DLB_with_Q,DLB_with_Q_Model,Experiment
58,10.822057285771628,2.0,10.713777960519003,1.0,0.1082793252526244,2.0,22,DLB_with_Q,DLB_with_Q_Model,Experiment
59,11.063647556188274,1.0,10.822057285771628,2.0,0.24159027041664594,2.0,23,DLB_with_Q,DLB_with_Q_Model,Experiment
60,11.567296166377652,2.0,11.063647556188274,1.0,0.5036486101893782,2.0,24,DLB_with_Q,DLB_with_Q_Model,Experiment
61,11.604213437655293,1.0,11.567296166377652,2.0,0.036917271277641106,2.0,25,DLB_with_Q,DLB_with_Q_Model,Experiment
62,12.248938820998468,0.0,11.604213437655293,1.0,0.6447253833431752,2.0,26,DLB_with_Q,DLB_with_Q_Model,Experiment
63,15.550631716514921,1.0,12.248938820998468,0.0,3.301692895516453,2.0,27,DLB_with_Q,DLB_with_Q_Model,Experiment
64,15.867471603221981,2.0,15.550631716514921,1.0,0.31683988670705965,2.0,28,DLB_with_Q,DLB_with_Q_Model,Experiment
65,16.055983992049946,1.0,15.867471603221981,2.0,0.18851238882796473,2.0,29,DLB_with_Q,DLB_with_Q_Model,Experiment
66,16.969931714936855,2.0,16.055983992049946,1.0,0.9139477228869097,2.0,30,DLB_with_Q,DLB_with_Q_Model,Experiment
67,17.292045630981352,1.0,16.969931714936855,2.0,0.322113916044497,2.0,31,DLB_with_Q,DLB_with_Q_Model,Experiment
68,17.45592405047531,0.0,17.292045630981352,1.0,0.1638784194939582,2.0,32,DLB_with_Q,DLB_with_Q_Model,Experiment
69,17.642198903041884,1.0,17.45592405047531,0.0,0.18627485256657295,2.0,33,DLB_with_Q,DLB_with_Q_Model,Experiment
70,17.642498446819644,2.0,17.642198903041884,1.0,2.995437777606469E-4,2.0,34,DLB_with_Q,DLB_with_Q_Model,Experiment
71,17.93000781792181,3.0,17.642498446819644,2.0,0.2875093711021641,2.0,35,DLB_with_Q,DLB_with_Q_Model,Experiment
72,17.97222506079789,4.0,17.93000781792181,3.0,0.042217242876080974,2.0,36,DLB_with_Q,DLB_with_Q_Model,Experiment
73,18.201041074144882,3.0,17.97222506079789,4.0,0.22881601334699297,2.0,37,DLB_with_Q,DLB_with_Q_Model,Experiment
74,18.261669851300915,2.0,18.201041074144882,3.0,0.06062877715603321,2.0,38,DLB_with_Q,DLB_with_Q_Model,Experiment
75,18.31614358581173,3.0,18.261669851300915,2.0,0.05447373451081461,2.0,39,DLB_with_Q,DLB_with_Q_Model,Experiment
76,18.748331688970328,2.0,18.31614358581173,3.0,0.4321881031585981,2.0,40,DLB_with_Q,DLB_with_Q_Model,Experiment
77,18.938526631603875,3.0,18.748331688970328,2.0,0.1901949426335463,2.0,41,DLB_with_Q,DLB_with_Q_Model,Experiment
78,19.122969366643535,4.0,18.938526631603875,3.0,0.18444273503966002,2.0,42,DLB_with_Q,DLB_with_Q_Model,Experiment
79,19.307491381764414,3.0,19.122969366643535,4.0,0.18452201512087996,2.0,43,DLB_with_Q,DLB_with_Q_Model,Experiment
80,19.346039337589747,2.0,19.307491381764414,3.0,0.03854795582533299,2.0,44,DLB_with_Q,DLB_with_Q_Model,Experiment
81,20.0,2.0,19.346039337589747,2.0,0.6539606624102525,2.0,45,DLB_with_Q,DLB_with_Q_Model,Experiment
82,20.0,2.0,20.0,2.0,0.0,2.0,46,DLB_with_Q,DLB_with_Q_Model,Experiment
